"DateTime";"[Chambre][5PST02-A 4in1 Multi-Sensor][Ouverture] ";"[Chambre][Chambre à coucher][Température] °C";"[Lyon][exterieur][Température] °C"
"2018-05-20 01:00:00";;20,6;19,175
"2018-05-20 02:00:00";;20,7;18,975
"2018-05-20 03:00:00";;20,7;18,65
"2018-05-20 04:00:00";;20,775;18,275
"2018-05-20 05:00:00";;20,7;18
"2018-05-20 06:00:00";;20,7;17,65
"2018-05-20 07:00:00";;20,675;17,7
"2018-05-20 08:00:00";;20,625;17,975
"2018-05-20 09:00:00";;20,525;18,9
"2018-05-20 09:43:06";1
"2018-05-20 10:00:00";;20,175;19,75
"2018-05-20 11:00:00";;20,125;20,425
"2018-05-20 12:00:00";;20,3;21,1
"2018-05-20 13:00:00";;20,45;21,675
"2018-05-20 14:00:00";;20,575;22,2
"2018-05-20 15:00:00";;20,725;22,625
"2018-05-20 16:00:00";;20,825;22,875
"2018-05-20 17:00:00";;20,9;22,8
"2018-05-20 18:00:00";;21,05;22,55
"2018-05-20 18:08:34";0
"2018-05-20 18:48:15";1
"2018-05-20 19:00:00";;21,075;22,15
"2018-05-20 20:00:00";;21;21,75
"2018-05-20 21:00:00";;20,925;21,375
"2018-05-20 22:00:00";;20,9;21,05
"2018-05-20 23:00:00";;20,875;20,625
"2018-05-21 00:00:00";;20,9;20,225
"2018-05-21 00:30:38";0
"2018-05-21 01:00:00";;21,1;19,925
"2018-05-21 02:00:00";;21,1;19,65
"2018-05-21 03:00:00";;21,1;19,3
"2018-05-21 04:00:00";;21,1;18,95
"2018-05-21 05:00:00";;21,1;18,775
"2018-05-21 06:00:00";;21;18,725
"2018-05-21 07:00:00";;21;18,9
"2018-05-21 08:00:00";;20,975;19,3
"2018-05-21 08:52:11";1
"2018-05-21 09:00:00";;20,675;19,4
"2018-05-21 10:00:00";;20,4;19,375
"2018-05-21 11:00:00";;20,25;19,975
"2018-05-21 12:00:00";;20,4;21,025
"2018-05-21 13:00:00";;20,75;22,05
"2018-05-21 14:00:00";;21,025;23
"2018-05-21 15:00:00";;21,1;23,2
"2018-05-21 16:00:00";;21,1;23,275
"2018-05-21 17:00:00";;21,125;23,275
"2018-05-21 18:00:00";;21,2;23,05
"2018-05-21 19:00:00";;21,2;22,675
"2018-05-21 20:00:00";;21,25;22,2
"2018-05-21 21:00:00";;21,2;21,775
"2018-05-21 22:00:00";;21,15;20,85
"2018-05-21 23:00:00";;21,225;19,975
"2018-05-21 23:11:20";0
"2018-05-22 00:00:00";;21,4;19,65
"2018-05-22 01:00:00";;21,4;19,55
"2018-05-22 02:00:00";;21,4;19,4
"2018-05-22 03:00:00";;21,4;19,35
"2018-05-22 04:00:00";;21,4;19,25
"2018-05-22 05:00:00";;21,375;18,975
"2018-05-22 06:00:00";;21,3;18,7
"2018-05-22 07:00:00";;21,35;18,8
"2018-05-22 08:00:00";;21,275;19,175
"2018-05-22 08:55:45";1
"2018-05-22 09:00:00";;20,975;19,7
"2018-05-22 10:00:00";;20,9;20,55
"2018-05-22 11:00:00";;20,925;21,475
"2018-05-22 12:00:00";;21,075;22,2
"2018-05-22 13:00:00";;21,2;22,6
"2018-05-22 14:00:00";;21,3;23
"2018-05-22 15:00:00";;21,375;23,2
"2018-05-22 16:00:00";;21,45;23,35
"2018-05-22 17:00:00";;21,575;23,35
"2018-05-22 18:00:00";;21,6;23,175
"2018-05-22 19:00:00";;21,6;22,825
"2018-05-22 20:00:00";;21,45;21,8
"2018-05-22 21:00:00";;21,325;20,625
"2018-05-22 21:26:30";0
"2018-05-22 22:00:00";;21,4;19,625
