,dateTime,Ouverture,Chamb_Temp,Chamb_CO2,Lyon_Temp,Temp_1H
604,18000,0.0,21.9,998.25,-3.5,-0.09999999999999787
605,21600,0.0,21.8,1020.75,-3.900000000000002,0.0
606,25200,0.0,21.8,1045.75,-4.5,0.0
607,28800,0.0,21.8,986.75,-4.775000000000002,-0.02500000000000213
608,32400,0.0,21.775,938.25,-4.75,-0.14999999999999858
609,36000,0.0,21.625,746.0,-3.875,-0.125
610,39600,0.0,21.5,733.25,-3.25,-0.3249999999999993
611,43200,0.0,21.175,604.0,-2.3500000000000014,-0.5
612,44203,1.0,21.175,604.0,-2.3500000000000014,0.0
613,46800,1.0,20.675,431.25,-1.8500000000000014,0.07499999999999929
614,50400,1.0,20.75,538.75,-1.25,0.375
615,51894,0.0,20.75,538.75,-1.25,0.0
616,54000,0.0,21.125,704.0,-1.3000000000000007,0.07499999999999929
617,57600,0.0,21.2,744.25,-1.4250000000000007,0.0
618,61200,0.0,21.2,707.5,-1.5999999999999979,0.0
619,64800,0.0,21.2,662.0,-1.6750000000000007,0.0
620,68400,0.0,21.2,639.5,-2.099999999999998,0.0
621,72000,0.0,21.2,631.5,-2.5500000000000007,0.0
622,75600,0.0,21.2,573.5,-3.0500000000000007,-0.07499999999999929
623,79200,0.0,21.125,536.25,-3.3999999999999986,0.02499999999999858
624,82800,0.0,21.15,610.0,-3.75,0.125
625,0,0.0,21.275,646.0,-4.074999999999999,0.20000000000000284
626,3600,0.0,21.475,818.75,-4.525000000000002,-0.02500000000000213
627,7200,0.0,21.45,900.5,-4.75,-0.07499999999999929
628,10800,0.0,21.375,889.5,-4.949999999999999,-0.07499999999999929
629,14400,0.0,21.3,862.5,-5.074999999999999,0.0
630,18000,0.0,21.3,874.5,-5.199999999999999,0.0
631,21600,0.0,21.3,901.5,-5.225000000000001,-0.07499999999999929
632,25200,0.0,21.225,898.75,-4.900000000000002,-0.02500000000000213
633,28800,0.0,21.2,909.0,-4.074999999999999,0.1750000000000007
634,32400,0.0,21.375,1091.75,-3.875,-0.22500000000000142
635,36000,0.0,21.15,791.0,-3.375,-0.25
636,37329,1.0,21.15,791.0,-3.375,0.0
637,39579,0.0,21.15,791.0,-3.375,0.0
638,39600,0.0,20.9,628.5,-2.75,0.0
639,43200,0.0,20.9,612.5,-1.3499999999999979,0.0
640,46800,0.0,20.9,582.25,-0.17499999999999716,0.0
641,50400,0.0,20.9,546.75,-0.3249999999999993,-0.02499999999999858
642,54000,0.0,20.875,527.0,0.02499999999999858,-0.07499999999999929
643,57600,0.0,20.8,491.0,-0.9000000000000021,-0.07499999999999929
644,61200,0.0,20.725,470.5,-1.375,-0.02500000000000213
645,64800,0.0,20.7,463.75,-2.0500000000000007,0.0
646,68400,0.0,20.7,440.0,-3.8249999999999993,-0.09999999999999787
647,72000,0.0,20.6,439.25,-5.075000000000001,0.0
648,75600,0.0,20.6,436.25,-5.625000000000002,-0.05000000000000071
649,79200,0.0,20.55,440.25,-5.550000000000001,-0.05000000000000071
650,82800,0.0,20.5,441.75,-5.625,-0.10000000000000142
651,0,0.0,20.4,427.5,-6.074999999999999,-0.04999999999999716
652,3600,0.0,20.35,431.75,-5.725000000000001,-0.07500000000000284
653,7200,0.0,20.275,430.5,-5.774999999999999,-0.07499999999999929
654,10800,0.0,20.2,421.5,-5.875,-0.07499999999999929
655,14400,0.0,20.125,417.5,-6.125,-0.05000000000000071
656,18000,0.0,20.075,423.75,-6.475,-0.09999999999999787
657,21600,0.0,19.975,414.5,-6.850000000000001,-0.07500000000000284
658,25200,0.0,19.9,407.75,-6.999999999999998,-0.07499999999999929
659,28800,0.0,19.825,415.0,-6.549999999999999,-0.05000000000000071
660,32400,0.0,19.775,409.75,-5.949999999999999,-0.07499999999999929
661,36000,0.0,19.7,411.5,-5.149999999999999,0.0
662,39600,0.0,19.7,411.25,-4.024999999999999,0.0
663,43200,0.0,19.7,408.0,-3.0,-0.09999999999999787
664,46800,0.0,19.6,420.75,-2.6750000000000007,0.0
665,50400,0.0,19.6,415.75,-2.775000000000002,0.0
666,54000,0.0,19.6,415.0,-3.200000000000003,0.0
667,57600,0.0,19.6,414.25,-2.5500000000000007,-0.05000000000000071
668,61200,0.0,19.55,422.25,-2.8249999999999993,-0.05000000000000071
669,64800,0.0,19.5,430.5,-2.9250000000000007,0.0
670,68400,0.0,19.5,423.25,-3.3000000000000007,-0.10000000000000142
671,72000,0.0,19.4,418.0,-3.375,0.0
